Est.:;Cidade:
SP ;SÃO PAULO
SP ;SÃO PAULO
ES ;LINHARES
SP ;SÃO PAULO
SP ;EMBU
PR ;PONTA GROSSA
PR ;CASCAVEL
RJ ;RIO DE JANEIRO
SP ;SÃO PAULO
SP ;ASSIS
MT ;RONDONÓPOLIS
SE ;SÃO CRISTÓVÃO
SP ;SÃO PAULO
SP ;PORTO FERREIRA
RS ;TRAMANDAÍ
GO ;SENADOR CANEDO
RJ ;CAMPOS DOS GOYTACAZES
MG ;JUIZ DE FORA
SP ;CAMPINAS
SP ;OSASCO
SC ;FLORIANÓPOLIS
PE ;OLINDA
MT ;RONDONÓPOLIS
ES ;VITÓRIA
SP ;BARRETOS
SP ;CAMPINAS
SP ;PRESIDENTE PRUDENTE
MG ;IGARAPÉ
SP ;SÃO PAULO
RJ ;NOVA FRIBURGO
PR ;MARINGÁ
SC ;TIMBÓ
BA ;JACOBINA
PE ;AFOGADOS DA INGAZEIRA
SC ;TUBARÃO
SP ;SÃO PAULO
SP ;GUAÍRA
RS ;CAPÃO DA CANOA
PB ;CABEDELO
CE ;FORTALEZA
MS ;DOURADOS
SP ;SÃO PAULO
SP ;CAMPINAS
SP ;SÃO PAULO
SP ;SÃO PAULO
ES ;ALTO RIO NOVO
SP ;PRAIA GRANDE
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;SÃO PAULO
MG ;CAMANDUCAIA
ES ;VILA VELHA
SP ;TUPÃ
SP ;SÃO PAULO
SP ;CAMPINAS
SP ;OURINHOS
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;SÃO PAULO
PE ;RECIFE
ES ;CACHOEIRO DE ITAPEMIRIM
SP ;CAMPINAS
MT ;MARCELÂNDIA
GO ;GOIÂNIA
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;BAURU
SP ;SÃO PAULO
RJ ;CAMPOS DOS GOYTACAZES
BA ;CASTRO ALVES
SP ;SÃO PAULO
ES ;SÃO GABRIEL DA PALHA
SP ;CAMPINAS
ES ;VILA VELHA
SP ;BARUERI
SP ;SÃO PAULO
ES ;CACHOEIRO DE ITAPEMIRIM
SP ;SÃO PAULO
PB ;CAMPINA GRANDE
BA ;VITÓRIA DA CONQUISTA
RJ ;CARMO
RS ;SANTO AUGUSTO
MG ;PEDRO LEOPOLDO
SP ;SÃO PAULO
SP ;CAMPINAS
MG ;VIÇOSA
SP ;SÃO PAULO
SP ;BARRETOS
MT ;BARRA DO BUGRES
GO ;MAURILÂNDIA
GO ;PLANALTINA DE GOIÁS
PR ;CLEVELÂNDIA
AM ;MANAUS
RS ;CAIBATÉ
RS ;SÃO SEPÉ
RS ;CAPÃO DA CANOA
BA ;SANTO ANTÔNIO DE JESUS
PR ;UMUARAMA
MT ;VÁRZEA GRANDE
SE ;TOBIAS BARRETO
AC ;CRUZEIRO DO SUL
MT ;RONDONÓPOLIS
sp ;SÃO PAULO
SC ;JOINVILLE
BA ;UBATÃ
SP ;SÃO PAULO
MT ;LUCAS DO RIO VERDE
CE ;FORTALEZA
AC ;CRUZEIRO DO SUL
RN ;NATAL
SE ;FREI PAULO
GO ;ANÁPOLIS
MG ;ALÉM PARAÍBA
PR ;IBIPORÃ
SP ;SÃO BERNARDO DO CAMPO
RS ;BENTO GONÇALVES
SP ;CAMPINAS
SP ;CAMPINAS
SP ;CAMPINAS
SP ;CAMPINAS
SP ;CAMPINAS
MG ;GOVERNADOR VALADARES
RS ;ANTÔNIO PRADO
SP ;CAMPINAS
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;SÃO PAULO
MG ;BRASÓPOLIS
BA ;ILHÉUS
SP ;CAMPINAS
MG ;POÇOS DE CALDAS
SP ;CAMPINAS
SP ;JUNDIAÍ
PB ;CAMPINA GRANDE
TO ;PALMAS
SC ;RIO DO SUL
MS ;CAMPO GRANDE
RJ ;CAMPOS DOS GOYTACAZES
MG ;TEÓFILO OTONI
MG ;OLIVEIRA
RS ;CANOAS
RN ;NATAL
DF ;BRASÍLIA
SP ;JAÚ
SP ;CAMPINAS
PR ;FRANCISCO BELTRÃO
PR ;TELÊMACO BORBA
RS ;ESTEIO
MG ;RESPLENDOR
RS ;GRAMADO
PR ;CURITIBA
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;SÃO PAULO
PR ;PARANAGUÁ
SP ;ESPÍRITO SANTO DO PINHAL
SP ;SÃO PAULO
DF ;BRASÍLIA
RJ ;SÃO GONÇALO
RS ;SÃO LOURENÇO DO SUL
SP ;SÃO PAULO
SP ;SANTO ANDRÉ
SP ;SÃO PAULO
SP ;JUNDIAÍ
SP ;CAMPINAS
RS ;PORTO ALEGRE
MG ;CARMO DO RIO CLARO
MG ;UBERLÂNDIA
SP ;CAMPINAS
SP ;SÃO PAULO
SP ;SÃO PAULO
PR ;CAPANEMA
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;OSASCO
SP ;SÃO PAULO
MG ;CABO VERDE
SP ;CAMPINAS
SP ;SÃO SEBASTIÃO
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;SÃO PAULO
MG ;CONCEIÇÃO DAS ALAGOAS
SP ;SÃO PAULO
SP ;ENGENHEIRO COELHO
SP ;SÃO PAULO
BA ;SANTO ANTÔNIO DE JESUS
SP ;PIRACICABA
SP ;ARAÇARIGUAMA
SP ;SÃO PAULO
SP ;GENERAL SALGADO
PR ;CURITIBA
RS ;FARROUPILHA
SP ;SÃO PAULO
MS ;MARACAJÚ
SP ;SÃO PAULO
SP ;CAMPINAS
SP ;CAMPINAS
SP ;CAMPINAS
SP ;SÃO PAULO
MG ;CATAGUASES
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;SÃO PAULO
MG ;POÇOS DE CALDAS
SP ;ÁGUAS DA PRATA
SP ;SÃO PAULO
SP ;TIETÊ
SP ;CAMPINAS
SP ;CAMPINAS
SP ;CAPIVARI
MG ;TEÓFILO OTONI
PR ;CURITIBA
SP ;PAULÍNIA
SP ;SÃO JOSÉ DOS CAMPOS
SP ;CARAGUATATUBA
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;SÃO PAULO
MG ;PASSOS
MG ;BELO HORIZONTE
SP ;SÃO PAULO
SP ;CAMPINAS
SP ;SÃO PAULO
SP ;CAMPINAS
GO ;LUZIÂNIA
SP ;CAMPINAS
RS ;SÃO LEOPOLDO
SP ;SÃO PAULO
SP ;SÃO PAULO
MG ;POUSO ALEGRE
SP ;SÃO PAULO
AP ;MACAPÁ
RN ;MOSSORÓ
SP ;ORLÂNDIA
SP ;CAMPINAS
SP ;CAMPINAS
MG ;BELO HORIZONTE
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;SÃO ROQUE
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;BEBEDOURO
SP ;ITATIBA
SC ;IBIRAMA
SP ;SÃO PAULO
MG ;UBERABA
SP ;SÃO PAULO
SP ;CAMPINAS
BA ;VITÓRIA DA CONQUISTA
SP ;CAMPINAS
PE ;TABIRA
SP ;SÃO PAULO
SP ;CAMPINAS
SP ;CAMPINAS
SP ;CAMPINAS
PA ;CANAÃ DOS CARAJÁS
SP ;SÃO PAULO
SP ;CAMPINAS
PR ;CIaNORTE
PA ;CASTANHAL
RJ ;VALENÇA
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;CAMPINAS
SP ;LENÇÓIS PAULISTA
SP ;CAMPINAS
SP ;CAMPINAS
MG ;TEÓFILO OTONI
SP ;SÃO PAULO
SP ;CAMPINAS
SP ;SÃO PAULO
MG ;BELO HORIZONTE
SP ;SÃO PAULO
GO ;GOIÂNIA
SP ;CAMPINAS
SP ;CRUZEIRO
SP ;SÃO PAULO
MG ;ITAJUBÁ
SP ;SÃO PAULO
RJ ;SÃO JOSÉ DO VALE DO RIO PRETO
SP ;SÃO PAULO
SP ;SÃO PAULO
sp ;campinas
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;SÃO PAULO
MG ;CÁSSIA
RS ;Palmeira das Missões
SP ;JUNDIAÍ
SP ;TIETÊ
BA ;SALVADOR
SP ;SÃO PAULO
ES ;ARACRUZ
SP ;SÃO PAULO
SP ;SÃO PAULO
CE ;FORTALEZA
SP ;CAMPINAS
SP ;SÃO PAULO
SP ;FERRAZ DE VASCONCELOS
SP ;SOROCABA
ES ;VILA VELHA
MT ;CANARANA
ES ;VITÓRIA
SC ;RIO DO SUL
MG ;RODEIRO
ES ;VITÓRIA
MG ;BELO HORIZONTE
AM ;MANAUS
SC ;PALMITOS
SC ;QUILOMBO
ES ;MUQUI
ES ;LINHARES
SP ;SÃO PAULO
SP ;SÃO BERNARDO DO CAMPO
SP ;PARIQUERA-AÇU
BA ;SALVADOR
SC ;CUNHA PORÃ
ES ;JOÃO NEIVA
RJ ;NATIVIDADE
SP ;SÃO PAULO
RS ;PORTO ALEGRE
RJ ;RIO DE JANEIRO
MG ;BELO HORIZONTE
PR ;FLORESTÓPOLIS
MG ;LAVRAS
MG ;DIVINÓPOLIS
RJ ;RIO BONITO
SP ;PEDREIRA
SP ;CORDEIRÓPOLIS
ES ;LINHARES
MS ;SÃO GABRIEL DO OESTE
SP ;SÃO PAULO
SP ;PEDREIRA
MG ;BELO HORIZONTE
RS ;FREDERICO WESTPHALEN
SP ;SÃO PAULO
RJ ;ITABORAÍ
SC ;BALNEÁRIO CAMBORIÚ
AM ;MANAUS
BA ;SALVADOR
MG ;UBÁ
SP ;CAPIVARI
SP ;SÃO PAULO
MA ;COROATÁ
TO ;ARAGUAÍNA
RJ ;SÃO FIDÉLIS
TO ;ARAGUAÍNA
SP ;CAMPINAS
MG ;BELO HORIZONTE
SP ;SÃO PAULO
SP ;SÃO PAULO
RJ ;CAMPOS DOS GOYTACAZES
SP ;JOSÉ BONIFÁCIO
SP ;SÃO PAULO
ES ;VILA VELHA
RS ;CANOAS
RS ;SAPUCAIA DO SUL
MT ;ÁGUA BOA
MT ;TANGARÁ DA SERRA
PR ;PARANAGUÁ
SP ;BIRIGUI
MG ;BELO HORIZONTE
SP ;SÃO PAULO
BA ;ITABERABA
MG ;BOTELHOS
SP ;SÃO PAULO
PB ;PATOS
RO ;CACOAL
MT ;ALTA FLORESTA
RS ;SANTA MARIA
MG ;BELO HORIZONTE
GO ;VALPARAÍSO DE GOIÁS
SP ;SÃO PAULO
DF ;GUARÁ
MG ;ANDRADAS
DF ;BRASÍLIA
GO ;LUZIÂNIA
MT ;ALTA FLORESTA
SP ;SÃO PAULO
RJ ;TRÊS RIOS
SP ;CAMPINAS
MG ;BETIM
SP ;CAMPINAS
GO ;CAMPOS BELOS
RS ;BAGÉ
SP ;CAMPINAS
TO ;ARAGUAÍNA
GO ;LUZIÂNIA
SP ;SÃO PAULO
PB ;SÃO BENTO
GO ;IPORÁ
MG ;CABO VERDE
SP ;SÃO PAULO
ES ;VITÓRIA
CE ;FORTALEZA
MG ;LUZ
DF ;BRASÍLIA
MG ;POÇOS DE CALDAS
SP ;PEDREIRA
AP ;MACAPÁ
BA ;SENHOR DO BONFIM
SP ;JALES
SP ;SÃO PAULO
BA ;CAMAÇARI
RJ ;MACAÉ
RO ;JI-PARANÁ
SC ;SÃO MIGUEL DO OESTE
RN ;NATAL
SP ;SÃO PAULO
SP ;CAMPINAS
SP ;AMERICANA
PR ;MARINGÁ
RN ;NATAL
AL ;MACEIÓ
SP ;CAMPINAS
SP ;BAURU
MT ;APIACÁS
SP ;SÃO PAULO
SC ;FLORIANÓPOLIS
SP ;PIRACICABA
SP ;CAMPINAS
MG ;POÇO FUNDO
SP ;SUMARÉ
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;SÃO PAULO
GO ;SÃO LUÍS DE MONTES BELOS
MS ;CHAPADÃO DO SUL
MT ;COLIDER
MG ;SANTA JULIANA
SC ;ITAJAÍ
TO ;GURUPI
ES ;MARILÂNDIA
BA ;UBAITABA
RS ;SAPIRANGA
ES ;VENDA NOVA DO IMIGRANTE
SP ;BAURU
PA ;ALTAMIRA
RS ;SAPIRANGA
BA ;FEIRA DE SANTANA
SP ;RIBEIRÃO PRETO
MG ;PRATÁPOLIS
ES ;VILA VELHA
RJ ;RIO DE JANEIRO
SC ;GASPAR
MG ;RIO NOVO
BA ;JUAZEIRO
SP ;SÃO PAULO
PE ;PETROLINA
MG ;SANTA JULIANA
SP ;GUARULHOS
RJ ;ITATIAIA
SC ;BLUMENAU
RS ;OSÓRIO
MT ;CUIABÁ
PB ;DIAMANTE
SP ;SÃO PAULO
MG ;SANTOS DUMONT
ES ;VITÓRIA
RJ ;ITATIAIA
MT ;CUIABÁ
SP ;SÃO PAULO
PA ;BELÉM
RS ;PORTO ALEGRE
MS ;BATAGUASSU
ES ;LINHARES
MG ;CONTAGEM
SE ;TOBIAS BARRETO
RO ;PORTO VELHO
RO ;PORTO VELHO
RN ;NATAL
SP ;OSASCO
SP ;CAMPINAS
MG ;BELO HORIZONTE
PR ;IVAIPORÃ
RS ;CARAZINHO
PE ;FLORESTA
RS ;ITAQUI
MT ;CUIABÁ
BA ;FÁTIMA
RJ ;ITAPERUNA
SP ;SANTOS
SP ;ITAPORANGA
SP ;SÃO CARLOS
PA ;PARAGOMINAS
PA ;OURILÂNDIA DO NORTE
SP ;SÃO PAULO
MG ;TEÓFILO OTONI
SP ;SÃO PAULO
PB ;JOÃO PESSOA
GO ;GOIÂNIA
GO ;GOIÂNIA
SC ;SÃO JOÃO BATISTA
RO ;PORTO VELHO
PA ;PARAGOMINAS
SP ;ROSANA
RS ;ALEGRETE
SP ;SÃO PAULO
ES ;CARIACICA
RJ ;SÃO FIDÉLIS
MG ;BETIM
SP ;CAMPINAS
RJ ;SANTO ANTÔNIO DE PÁDUA
SP ;SÃO PAULO
CE ;CAMPOS SALES
SP ;EMBU
CE ;JUAZEIRO DO NORTE
ES ;CARIACICA
ES ;SÃO GABRIEL DA PALHA
SP ;COTIA
SP ;SÃO PAULO
SP ;SANTA FÉ DO SUL
MG ;BOTELHOS
BA ;MACAÚBAS
RS ;PORTO ALEGRE
SP ;SÃO PAULO
SP ;CUBATÃO
MT ;SORRISO
BA ;VITÓRIA DA CONQUISTA
SE ;NEÓPOLIS
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;SÃO PAULO
MG ;PATROCÍNIO
SP ;PEDREIRA
SP ;SÃO PAULO
GO ;RUBIATABA
SP ;SERRA NEGRA
TO ;PALMAS
SP ;SÃO PAULO
RS ;PORTO ALEGRE
SP ;SÃO PAULO
MT ;RONDONÓPOLIS
ES ;CARIACICA
SP ;SÃO PAULO
SE ;NEÓPOLIS
SP ;CAMPINAS
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;CAMPINAS
SP ;SÃO PAULO
SP ;SÃO PAULO
MG ;BOTELHOS
SP ;CAMPINAS
RS ;ALEGRETE
RS ;SANTIAGO
MG ;BOTELHOS
ES ;MARECHAL FLORIANO
ES ;SÃO GABRIEL DA PALHA
SP ;SÃO PAULO
SP ;CAMPINAS
SP ;AMERICANA
SP ;CAMPINAS
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;CAMPINAS
ES ;ANCHIETA
MG ;BELO HORIZONTE
SP ;SÃO PAULO
SP ;MORUNGABA
SP ;SÃO PAULO
SP ;CAMPINAS
SP ;CAMPINAS
SP ;SÃO PAULO
RJ ;CABO FRIO
MG ;BELO HORIZONTE
SP ;BARRINHA
SP ;SÃO PAULO
SP ;GARÇA
SP ;MARÍLIA
CE ;FORTALEZA
SP ;SÃO PAULO
SC ;BARRA VELHA
MG ;DORES DO INDAIÁ
SP ;VALINHOS
BA ;JUAZEIRO
SP ;ADAMANTINA
SP ;AGUAÍ
SP ;PORTO FERREIRA
SP ;PEDREIRA
SP ;BAURU
SP ;JAGUARIÚNA
MG ;LAVRAS
MT ;MARCELÂNDIA
RJ ;RIO DE JANEIRO
RS ;ESTEIO
ES ;CARIACICA
SC ;CAMPOS NOVOS
MG ;UBERLÂNDIA
RJ ;GUAPIMIRIM
MG ;JOÃO MONLEVADE
SP ;FRANCO DA ROCHA
SP ;PORTO FERREIRA
SP ;PORTO FERREIRA
SP ;PORTO FERREIRA
BA ;EUNÁPOLIS
RO ;ROLIM DE MOURA
SP ;IBIÚNA
RJ ;RIO DE JANEIRO
SP ;CAMPINAS
RS ;OSÓRIO
MG ;PARÁ DE MINAS
SP ;AMERICANA
MG ;MONTES CLAROS
SC ;SANGÃO
PE ;CAETÉS
SP ;SÃO PAULO
SP ;SÃO PAULO
BA ;SANTO ESTEVÃO
SP ;SÃO PAULO
SP ;TABOÃO DA SERRA
RS ;NOVO HAMBURGO
ES ;SERRA
MT ;RONDONÓPOLIS
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;BARRINHA
SP ;TATUÍ
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;CAMPINAS
RS ;SANTA MARIA
SC ;CRICIÚMA
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;PAULÍNIA
SP ;TAMBAÚ
MG ;SANTA BÁRBARA
SP ;SÃO PAULO
MG ;BELO HORIZONTE
RJ ;RIO DE JANEIRO
SP ;CAMPINAS
ES ;SERRA
MG ;PATOS DE MINAS
DF ;BRASÍLIA
PE ;RECIFE
PE ;JABOATÃO DOS GUARARAPES
RS ;SANTA ROSA
CE ;SOBRAL
PI ;TERESINA
PE ;RECIFE
MG ;UNAÍ
RJ ;MARICÁ
SP ;ARAÇOIABA DA SERRA
DF ;BRASÍLIA
DF ;BRASÍLIA
RR ;BOA VISTA
SP ;SÃO PAULO
SC ;TUBARÃO
MG ;TIMÓTEO
GO ;GOIÂNIA
MT ;LUCAS DO RIO VERDE
DF ;BRASÍLIA
MG ;ARAXÁ
GO ;MINEIROS
GO ;GOIÂNIA
SP ;SÃO PAULO
MG ;UBERLÂNDIA
ES ;COLATINA
BA ;SEABRA
SP ;SÃO PAULO
ES ;SÃO ROQUE DO CANAÃ
RO ;PORTO VELHO
MG ;BELO HORIZONTE
RS ;CANOAS
SP ;SÃO PAULO
SP ;SANTOS
SP ;MARÍLIA
SP ;RIBEIRÃO PRETO
BA ;SANTO ANTÔNIO DE JESUS
SP ;RIBEIRÃO PIRES
SP ;SOROCABA
SP ;RIBEIRÃO PRETO
RS ;PORTO ALEGRE
BA ;SANTO ANTÔNIO DE JESUS
BA ;FEIRA DE SANTANA
RJ ;RIO DAS OSTRAS
RO ;PORTO VELHO
PR ;FOZ DO IGUAÇU
SP ;SÃO PAULO
PR ;PARANAGUÁ
SP ;SÃO PAULO
RS ;PORTO ALEGRE
RJ ;RIO DE JANEIRO
SC ;LAGES
SP ;BARRETOS
SP ;SÃO PAULO
PB ;JOÃO PESSOA
MT ;ALTA FLORESTA
SP ;SÃO JOAQUIM DA BARRA
AM ;MANAUS
RJ ;RIO DE JANEIRO
RJ ;ANGRA DOS REIS
SP ;CAMPINAS
SP ;SÃO PAULO
SP ;CAMPINAS
SP ;SÃO PAULO
SP ;MARÍLIA
CE ;FORTALEZA
SP ;PIRACICABA
SP ;SANTA CRUZ DO RIO PARDO
RS ;RIO GRANDE
PE ;ARARIPINA
SP ;SÃO PAULO
RJ ;BOM JESUS DO ITABAPOANA
RS ;CAMAQUÃ
SC ;IÇARA
SP ;OSASCO
MG ;CURVELO
SP ;SÃO PAULO
RS ;SANTA BÁRBARA DO SUL
RR ;BOA VISTA
AM ;MANAUS
SP ;CAMPINAS
PB ;ALAGOA GRANDE
RJ ;NOVA IGUAÇU
SP ;CAMPINAS
SP ;SÃO JOSÉ DOS CAMPOS
SP ;ARAÇOIABA DA SERRA
RS ;BENTO GONÇALVES
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;COTIA
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;BARUERI
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;SÃO CAETANO DO SUL
SP ;SÃO PAULO
MT ;CUIABÁ
MG ;IPATINGA
SP ;BOTUCATU
RJ ;NOVA FRIBURGO
SP ;APARECIDA
SP ;CRUZEIRO
SP ;GUARATINGUETÁ
SP ;SANTA BRANCA
SP ;REGISTRO
SP ;CAMPINAS
SP ;JUNDIAÍ
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;SÃO PAULO
MG ;BELO HORIZONTE
SP ;PIRASSUNUNGA
SP ;CAMPINAS
SP ;SÃO PAULO
BA ;SÃO GONÇALO DOS CAMPOS
SE ;SIMÃO DIAS
SC ;BRUSQUE
PA ;MARABÁ
DF ;BRASÍLIA
PI ;TERESINA
SP ;PRESIDENTE PRUDENTE
RS ;SÃO LEOPOLDO
SP ;CAMPINAS
PI ;TERESINA
SC ;URUSSANGA
SP ;OURINHOS
SE ;ARACAJU
MG ;VIÇOSA
SP ;SÃO PAULO
RJ ;RIO DE JANEIRO
RS ;SANTA ROSA
PE ;PETROLINA
DF ;BRASÍLIA
MG ;SANTA RITA DO SAPUCAÍ
SP ;REGISTRO
MT ;VÁRZEA GRANDE
MG ;ARAXÁ
RS ;SANTA ROSA
MG ;DORES DO INDAIÁ
SE ;NOSSA SENHORA DA GLÓRIA
MG ;BELO HORIZONTE
RS ;NOVO HAMBURGO
SE ;ARACAJU
MT ;TANGARÁ DA SERRA
SP ;CATANDUVA
MS ;CAMPO GRANDE
PR ;BELA VISTA DO PARAÍSO
MG ;VIÇOSA
SP ;SOROCABA
MG ;BELO HORIZONTE
PE ;OURICURI
RJ ;RIO DE JANEIRO
MT ;CUIABÁ
BA ;IBIRATAIA
MG ;SANTA VITÓRIA
GO ;PIRACANJUBA
RJ ;RIO DE JANEIRO
MS ;CAMPO GRANDE
SP ;SÃO PAULO
MG ;IPATINGA
PR ;URAÍ
SC ;QUILOMBO
MG ;TAIOBEIRAS
ES ;SERRA
SP ;SÃO SEBASTIÃO
RS ;CACHOEIRINHA
AM ;MANAUS
MG ;RESPLENDOR
SP ;CAMPINAS
RJ ;RIO DE JANEIRO
MS ;CAMPO GRANDE
SP ;SÃO PAULO
MG ;BOTELHOS
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;SÃO PAULO
PR ;LONDRINA
SP ;ARUJÁ
MT ;NOVA UBIRATÃ
RS ;MARAU
RJ ;RIO DE JANEIRO
ES ;CARIACICA
SC ;TAIÓ
SP ;DESCALVADO
PE ;SERRA TALHADA
SP ;SÃO PAULO
RS ;CACHOEIRA DO SUL
MG ;PIRAPETINGA
GO ;GOIÂNIA
PR ;CASCAVEL
SP ;SÃO PAULO
SP ;CAMPINAS
MG ;PARÁ DE MINAS
SC ;PALHOÇA
SC ;XANXERÊ
RS ;VIAMÃO
SP ;COTIA
DF ;TAGUATINGA
BA ;CACULÉ
MG ;JUIZ DE FORA
RJ ;VALENÇA
RJ ;PETRÓPOLIS
PR ;MEDIANEIRA
RO ;CACOAL
ES ;VILA VELHA
MG ;ARAXÁ
RJ ;RIO DE JANEIRO
MS ;CHAPADÃO DO SUL
SP ;São Paulo
RJ ;NOVA FRIBURGO
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;SÃO PAULO
MG ;MORADA NOVA DE MINAS
SP ;SÃO PAULO
SP ;SÃO PAULO
MG ;ALFENAS
PR ;PARANAGUÁ
SP ;SÃO PAULO
SP ;SÃO PAULO
CE ;FORTALEZA
AL ;MACEIÓ
RJ ;MACUCO
SP ;SÃO PAULO
RJ ;RIO DE JANEIRO
SC ;CRICIÚMA
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;CAMPINAS
PB ;CABEDELO
SP ;SÃO PAULO
SP ;CAMPINAS
SP ;SÃO PAULO
RJ ;RESENDE
SE ;ARACAJU
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;BARUERI
SP ;PORTO FERREIRA
MG ;ITANHOMI
SP ;CAMPINAS
SP ;SÃO PAULO
SP ;NOVA ODESSA
SP ;SÃO PAULO
MG ;MATA VERDE
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;ITU
SP ;SÃO PAULO
SP ;VALINHOS
SP ;CAMPINAS
SP ;SÃO PAULO
SP ;SÃO PAULO
MG ;GOVERNADOR VALADARES
SP ;SÃO PAULO
SP ;SÃO PAULO
PB ;GUARABIRA
MG ;CABO VERDE
BA ;CACHOEIRA
SP ;SÃO PAULO
SP ;FRANCA
SP ;MOGI DAS CRUZES
SP ;SÃO PAULO
DF ;BRASÍLIA
RN ;Parnamirim
SP ;SÃO PAULO
RO ;PORTO VELHO
ES ;CACHOEIRO DE ITAPEMIRIM
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;CAMPINAS
GO ;GOIÂNIA
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;SÃO PAULO
PE ;CARUARU
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;CAMPINAS
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;SÃO PAULO
DF ;BRASÍLIA
SP ;SÃO PAULO
SC ;FLORIANÓPOLIS
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;SÃO BERNARDO DO CAMPO
SP ;SÃO PAULO
GO ;FORMOSA
SP ;CAMPINAS
MG ;CAMPESTRE
SP ;CAMPINAS
sp ;são paulo
SP ;SÃO PAULO
SP ;SÃO PAULO
PA ;TUCURUÍ
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;CAMPINAS
SP ;SÃO PAULO
PR ;ARAPONGAS
SP ;PAULÍNIA
SP ;CAMPINAS
MG ;MARIANA
SP ;SÃO PAULO
SC ;SÃO MIGUEL DO OESTE
SC ;BRUSQUE
SP ;CAMPINAS
SP ;ITARARÉ
SP ;CAMPINAS
SP ;SÃO PAULO
RN ;MOSSORÓ
RN ;MOSSORÓ
SP ;CAMPINAS
SP ;CAMPINAS
SP ;SÃO PAULO
GO ;GOIÂNIA
SP ;BARUERI
MG ;NOVA LIMA
PR ;BORRAZÓPOLIS
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;PAULÍNIA
SP ;CAMPINAS
SP ;SÃO PAULO
SP ;SÃO PAULO
MT ;SINOP
SP ;SÃO PAULO
SP ;CAMPINAS
BA ;SALVADOR
SP ;VINHEDO
SP ;São Paulo
SP ;SÃO PAULO
SP ;CAMPINAS
DF ;BRASÍLIA
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;São Paulo
SP ;SÃO PAULO
SC ;CHAPECÓ
SC ;SÃO CARLOS
SP ;SÃO CARLOS
SC ;SÃO MIGUEL DO OESTE
PR ;APUCARANA
RJ ;CAMPOS DOS GOYTACAZES
MT ;CUIABÁ
GO ;GOIÂNIA
PR ;CAMPO MOURÃO
SC ;POUSO REDONDO
PB ;JOÃO PESSOA
SP ;PORTO FERREIRA
SP ;GUARULHOS
MS ;CHAPADÃO DO SUL
PR ;SARANDI
BA ;SALVADOR
SC ;FLORIANÓPOLIS
SC ;ORLEANS
RS ;BAGÉ
ES ;GUAÇUÍ
PE ;PETROLINA
SP ;BOCAINA
SP ;TIETÊ
RJ ;VOLTA REDONDA
RS ;VENÂNCIO AIRES
MS ;CAARAPÓ
PA ;PARAGOMINAS
RS ;PORTO ALEGRE
MS ;NAVIRAÍ
SC ;GRÃO PARÁ
GO ;ANÁPOLIS
